id,score,category,text
0,5,positive,['mantap']
1,2,negative,"['semenjak', 'cod', 'tiada', 'wilayah', 'sudah', 'pakai', 'akupindah', 'sebelahlbh', 'murah']"
2,5,positive,"['sayang', 'banget', 'lengkap', 'lengkap', 'sekali', 'kan', 'beli']"
3,5,positive,"['belanja', 'lihat', 'teman', 'belanja', 'lewat', 'aplikasi', 'pengin', 'coba']"
4,5,positive,"['sayur', 'freshbersih', 'barang', 'kualitas']"
5,5,positive,"['kualitas', 'barang', 'fresh', 'segar', 'bersih', 'kirim', 'aman', 'cepat', 'bkalan', 'langgan', 'deh', 'harga', 'murah', 'murah', 'tinggal', 'tunggu', 'enggak', 'rumah']"
6,1,negative,"['sekarang', 'belanja', 'yang', 'komplain', 'aco', 'cod', 'transfer', 'nugelo', 'segar']"
7,5,positive,"['produk', 'bagus', 'packaging', 'safe', 'banget']"
8,5,positive,"['kirim', 'cepatbarang', 'bagus']"
9,5,positive,"['bagus', 'cepat', 'praktis']"
10,2,negative,"['beberapa', 'kali', 'belanja', 'barang', 'kosong', 'kosong', 'display', 'lahbaik', 'produk', 'promo', 'promo', 'ada', 'kosong', 'uang', 'coin', 'sudah', 'begitu', 'biaya', 'tangan', 'promo', 'gabung', 'mending', 'pindah', 'toko', 'belah']"
11,5,positive,"['keren', 'bantu', 'emak', 'dari', 'tukang', 'sayur']"
12,5,positive,['mantap']
13,3,neutral,"['sayang', 'enggak', 'tempat']"
14,5,positive,"['min', 'sampai', 'fresh', 'banget', 'bagus', 'sayur', 'promonya', 'very', 'worth', 'itu']"
15,5,positive,"['bantu', 'anak', 'riweh', 'rumah', 'tinggal', 'pesan', 'lewat', 'hp', 'langsung', 'sampai']"
16,5,positive,"['promo', 'buah', 'buah', 'juga']"
17,5,positive,"['harga', 'ok', 'kirim', 'sesuai', 'jadwal', 'emas', 'kirim', 'telur', 'barang', 'tingkat', 'aman', 'telur', 'tindih', 'barang']"
18,5,positive,['bagus']
19,5,positive,['bantu']
20,5,positive,"['good', 'aplication']"
21,1,negative,"['banyak', 'produk', 'refund', 'saran', 'ada', 'promo', 'lihat', 'kuantitas', 'produk']"
22,1,negative,"['tutup', 'layan', 'jam', 'jam', 'telat', 'menit', 'oke', 'telat', 'jam', 'juga', 'kurir', 'hubung', 'angkat', 'hubung', 'cs', 'maaf', 'tanggung', 'kompensasi', 'apa', 'begitu', 'tutup', 'aplikasi']"
23,5,positive,"['bagus', 'bagus', 'pesan', 'segar', 'sayang', 'mesan', 'jam', 'enggak bisa', 'bayar']"
24,1,negative,"['bagus', 'golden', 'mom', 'segar']"
25,5,positive,"['keren', 'cepat', 'barang', 'bagus']"
26,5,positive,"['hari', 'ok', 'bngetpelayanan', 'antar', 'mantul']"
27,5,positive,"['segar', 'utama', 'dapat', 'promo', 'besar']"
28,1,negative,"['deh', 'beli', 'gari', 'respon', 'layan', 'lama']"
29,4,positive,"['aplikasi', 'bagusloading', 'lamamungkin', 'server']"
30,1,negative,"['the', 'worst']"
31,5,positive,"['alam', 'beli', 'daging', 'giling', 'packing', 'rapi', 'pakai', 'dus', 'tapi', 'daging', 'giling', 'beku', 'terima', 'kasih']"
32,5,positive,['puas']
33,1,negative,"['sudah', 'tarik', 'belanja']"
34,5,positive,"['rekomendasi', 'anak', 'kosan', 'pasar', 'dagang', 'praktis', 'bahan', 'bahan', 'segar', 'banget']"
35,5,positive,"['sukakk', 'fresh', 'cod']"
36,5,positive,"['belanja', 'moga', 'harga', 'bisa', 'miring', 'maklum', 'mak', 'zaman', 'sekarang', 'wajib', 'efisiensi']"
37,5,positive,"['belanja', 'butuh', 'masak', 'hari', 'cepat', 'mudah', 'praktis']"
38,5,positive,"['buah', 'segar', 'banget', 'kirim', 'cepat', 'banget']"
39,5,positive,"['sesuai', 'cepat']"
40,5,positive,"['bantu', 'banget', 'mageran']"
41,5,positive,"['alhamdulillah', 'beli', 'bantu', 'banget', 'repot', 'pasar', 'daging', 'sayur', 'fresh', 'harga', 'jangkau', 'kemarin', 'dapat', 'diskon', 'promo', 'free', 'ongkir', 'sukses', 'segar']"
42,5,positive,"['suka', 'belanja', 'segar', 'rapi', 'emas', 'kirim', 'ramah']"
43,5,positive,"['cepat', 'respon', 'bantu', 'customer', 'bantu', 'customer', 'care', 'segar', 'ramah', 'layan', 'terima', 'kasih', 'kak']"
44,4,positive,"['mudah', 'jangkau', 'kirim', 'batas', 'harga', 'saing', 'kualitas', 'produk']"
45,1,negative,"['aplikasi', 'bagustapi', 'bintang', 'kirim', 'ajadi', 'lokasi', 'bisatolong', 'segar', 'kirim']"
46,1,negative,"['alam', 'beli', 'buruk', 'banget', 'beli', 'manggis', 'busuk', 'keras', 'sampai', 'ganti', 'produk', 'bagus', 'belanja', 'belanja', 'dana', 'refund', 'banget', 'konfirmasi', 'pemberitahuan', 'tunggu', 'info', 'refund', 'kembali', 'uang', 'gua', 'heiiii', 'uang', 'belanja', 'gua', 'sudah', 'pakai', 'buru', 'kembaliinnya', 'sudah', 'tunggu', 'batal', 'sekali', 'batalin', 'suruh', 'tunggu', 'kerja', 'dzolim', 'banget']"
47,5,positive,['guna']
48,5,positive,"['layan', 'muas', 'barang', 'segarkiriman', 'driver', 'ramah', 'customer', 'service', 'ramah', 'bagus']"
49,1,negative,"['parah', 'segar', 'kapok', 'sudah', 'pilih', 'turbo', 'jam', 'jam', 'pesan', 'proses', 'status', 'ubah', 'proses', 'batal', 'susah', 'refund', 'dana', 'jam', 'tambah', 'tunggu', 'total', 'salah', 'lempar', 'jam', 'operasional', 'bank', 'pahadal', 'proses', 'kasih', 'kerja', 'selasa', 'rabu', 'kamis', 'jumat', 'tunggu', 'besok', 'weekend', 'bank', 'tutup', 'proses', 'senin', 'gila', 'chat', 'balas', 'mesin', 'chat', 'ulang', 'begitu', 'kelar']"
50,5,positive,"['bersih', 'layan', 'cepat', 'harga', 'murah', 'pokok', 'mah', 'puas', 'terima', 'kasih', 'segar']"
51,5,positive,"['bagus', 'murah', 'waktu']"
52,5,positive,"['cepat', 'mantap']"
53,5,positive,"['cepat', 'banget', 'sampai', 'produk', 'bagus', 'muas']"
54,5,positive,"['cepat', 'ramah', 'ojek']"
55,5,positive,"['mantap', 'boskuhh']"
56,2,negative,"['layan', 'turbo', 'segar', 'benar', 'parah', 'service', 'level', 'kirim', 'jam', 'tapi', 'jam', 'pesan', 'belum', 'proses', 'baru', 'sampai', 'jam', 'kalah', 'cepat', 'sayur', 'box', 'astro', 'benar', 'komit', 'service', 'level', 'janji', 'customer', 'mending', 'nama', 'kirim', 'turbo', 'customer', 'pakai', 'layan', 'memang', 'butuh', 'cepat', 'tapi', 'proses', 'kirim']"
57,5,positive,"['belanja', 'cepat', 'mantap']"
58,5,positive,['manfaat']
59,5,positive,"['muas', 'belanja']"
60,5,positive,['good']
61,5,positive,"['bantu', 'penuh', 'butuh', 'hidup', 'seharihari']"
62,5,positive,"['kirim', 'cepat']"
63,5,positive,"['ok', 'good']"
64,5,positive,"['ikan', 'belut', 'sama', 'ikan', 'sidat', 'sehrus', 'hehhe']"
65,4,positive,"['moga', 'kirim', 'kec', 'parung', 'waru', 'jaya']"
66,5,positive,['puas']
67,5,positive,"['antar', 'on', 'time']"
68,5,positive,"['produk', 'segar', 'never', 'failed']"
69,5,positive,"['sayur', 'segar', 'emas', 'ok']"
70,5,positive,"['belanja', 'pertamakali', 'segar', 'alhamdulillah', 'puas', 'banget', 'fresh', 'bisa', 'kirim', 'langsung', 'juga', 'terimakasih']"
71,5,positive,"['buah', 'sayur', 'super', 'duper', 'segar', 'banget', 'kirim', 'kilat']"
72,2,negative,"['order', 'jam', 'memang', 'butuh', 'cepat', 'sudah', 'ngalamin', 'estimasi', 'kirim', 'pesan', 'jam', 'sampai', 'jam', 'sampai', 'bagaimana', 'orang', 'masak', 'bahan', 'enggak', 'dtng', 'tolong', 'tingkat', 'kualitas', 'sesuai', 'estimasi', 'pesan', 'terima']"
73,5,positive,"['belanja', 'harga', 'puasa', 'belanja', 'senang']"
74,5,positive,"['super', 'duper', 'cepat', 'sampai', 'bantu', 'segar', 'terburuburu', 'masak', 'bahan', 'tinggal', 'klik', 'sampai', 'deh', 'sukses', 'selalu', 'segar']"
75,1,negative,"['promo', 'zonk', 'order', 'promo', 'enggak', 'antar', 'alas', 'kosong']"
76,5,positive,"['sesuai', 'pesan']"
77,5,positive,"['alam', 'belanja', 'sampai', 'sekarang', 'alhamdulillah', 'segar', 'kecewa', 'produk', 'csnya', 'kurir', 'selalu', 'benar', 'sangan', 'bantu', 'banget', 'promonya', 'terimakasih', 'segar']"
78,5,positive,['mantap']
79,3,neutral,"['enggak', 'cod', 'informasi']"
80,5,positive,"['good', 'quality']"
